id,system,feature,priority,dependency,status,acceptance_criteria,test_requirement,evidence,notes
BOT-0110,embed,"Async loading, no host blocking",P0,—,VERIFIED,Non-blocking load,embed tests,tests/integration/embed.test.js,v42
BOT-0111,embed,No global namespace pollution,P1,—,VERIFIED,Single namespaced guard,embed tests,tests/integration/embed.test.js,v42
BOT-0112,embed,Floating launcher button,P0,—,VERIFIED,Launcher visible,embed tests,tests/integration/embed.test.js,v42
BOT-0113,embed,data-lang / data-theme / data-position / data-title / data-source / data-open,P1,—,VERIFIED,All attrs honored,embed tests,tests/integration/embed.test.js,v42
BOT-0114,embed,Duplicate injection guard (script loaded twice),P0,—,VERIFIED,No duplicate widgets,embed tests,tests/integration/embed.test.js,v42
BOT-0115,embed,Open/close behavior + Escape,P1,—,VERIFIED,Close works,embed tests,tests/integration/embed.test.js,v42
BOT-0116,embed,Mobile safe area in embed,P1,—,VERIFIED,Safe areas in iframe,CSS audit,assets/css/style.css,v42
BOT-0117,embed,data-position left/right,P2,—,VERIFIED,Position honored,embed tests,tests/integration/embed.test.js,v42
BOT-0118,embed,Embed analytics-free source tagging,P3,—,PLANNED,source logged locally only,embed test,—,
BOT-0119,embed,Multiple widgets on one page rejected with warning,P3,—,PLANNED,Warn + keep first,embed tests,—,
BOT-0120,embed,Embed inside SPA navigation (history API),P3,—,PLANNED,Widget survives route change,embed tests,—,
BOT-0121,storage,localStorage schema + versioning,P1,—,VERIFIED,Schema validated,unit schema.test.js,tests/unit/schema.test.js,v41
BOT-0122,storage,Local store wrapper with graceful degradation,P1,—,VERIFIED,Works when storage blocked,unit local-store.test.js,tests/unit/local-store.test.js,v41
BOT-0123,storage,No PII stored (settings + anonymous state only),P1,—,VERIFIED,Audit passes,code audit,src/storage/local-store.js,v42
BOT-0124,storage,Storage quota error handling,P3,—,PLANNED,QuotaExceeded caught,unit test,—,
BOT-0125,data,"business.json authoritative facts (address, contact, hours, deposit)",P0,—,VERIFIED,Single source of truth,unit data.test.js + golden,tests/unit/data.test.js,v41
BOT-0126,data,pricing.json verified vehicle prices,P0,—,VERIFIED,Prices match repo,unit data.test.js,tests/unit/data.test.js,v41
BOT-0127,data,faq.json bilingual FAQ entries,P1,—,VERIFIED,FAQ retrieval,unit data/search,tests/unit/data.test.js,v42
BOT-0128,data,$schema version fields on all data files,P1,—,VERIFIED,Schemas present,unit data.test.js,tests/unit/data.test.js,v42
BOT-0129,data,Photo/image per vehicle category,P3,—,PLANNED,Images in suggestions,ui test,—,needs assets
BOT-0130,data,Price-change review checklist,P3,—,PLANNED,Checklist doc,docs,—,
BOT-0131,tests,Unit test suite (28 files),P0,—,VERIFIED,All pass in CI,node --test,292 passing,v42
BOT-0132,tests,Integration: conversations multi-turn,P0,—,VERIFIED,Multi-turn passes,integration conversations.test.js,tests/integration/conversations.test.js,v42
BOT-0133,tests,Integration: embed widget,P0,—,VERIFIED,Embed suite passes,integration embed.test.js,tests/integration/embed.test.js,v42
BOT-0134,tests,Golden conversation regression suite,P0,—,VERIFIED,Golden set passes; expectations from data,integration golden.test.js,tests/integration/golden.test.js,v42
BOT-0135,tests,Regression: duration-vs-cc disambiguation,P0,—,VERIFIED,50cc never a duration,regression.test.js,tests/regression.test.js,v42
BOT-0136,tests,"Business-fact gates: 0 wrong prices, 0 wrong address, 0 invented policy",P0,—,VERIFIED,Fact accuracy 100%,golden + fact guard tests,tests/integration/golden.test.js,v42
BOT-0137,tests,Hallucination prevention tests (guardFacts),P0,—,VERIFIED,Fabricated numbers rejected,unit local-ai,tests/unit/local-ai.test.js,v42
BOT-0138,tests,Failure/fallback simulation tests (model init failure),P1,—,VERIFIED,Fallback path exercised,unit local-ai,tests/unit/local-ai.test.js,v42
BOT-0139,tests,Typo/misspelling golden batch,P1,—,VERIFIED,Typos handled,golden suite,tests/integration/golden.test.js,v42
BOT-0140,tests,English golden batch,P1,—,VERIFIED,English answers correct,golden suite,tests/integration/golden.test.js,v42
BOT-0141,tests,Repeated-question golden batch,P2,—,VERIFIED,Stable answers,golden suite,tests/integration/golden.test.js,v42
BOT-0142,tests,Expand golden set to 100+ conversations,P2,—,PLANNED,≥100 golden cases green,golden suite growth,—,next run
BOT-0143,tests,Contradiction & adversarial golden batch,P2,—,PLANNED,Adversarial cases honest,golden suite,—,
BOT-0144,tests,Fuzz input suite (random unicode/length),P3,—,PLANNED,No crash on fuzz,fuzz script,—,
BOT-0145,ci,GitHub Actions workflow: node --test on push/PR,P0,—,VERIFIED,Green run on main,.github/workflows/ci.yml,this run (2026-09-27),undefined
BOT-0146,ci,"CI matrix (Node 20, 22)",P2,—,PLANNED,Both versions green,ci.yml update,—,
BOT-0147,ci,CI smoke: index.html & embed.js reachable on Pages,P1,—,PLANNED,Deploy smoke in CI,ci job,—,
BOT-0148,ci,CI bundle-size budget check,P3,—,PLANNED,Fail if base JS >40 KB,ci job,—,
BOT-0149,ops,Master Matrix maintained in docs/matrix/,P1,—,VERIFIED,"200+ unique rows, statuses current",this run,docs/matrix/chatbot-master-matrix.csv,this run
BOT-0150,ops,active-work checkpoint state (docs/state/active-work.json),P1,—,VERIFIED,Lock persisted per run,this run,docs/state/active-work.json,this run
BOT-0151,ops,Run reports in reports/,P1,—,VERIFIED,Per-run evidence report,this run,reports/,this run
BOT-0152,ops,Idempotent scheduled runs (no duplicate rows/widgets/tests),P1,—,VERIFIED,Re-run safe,runbook docs/WORKFLOW.md,docs/WORKFLOW.md,this run
BOT-0153,docs,"README (architecture, priorities, testing, privacy)",P0,—,VERIFIED,Current & accurate,this run,README.md,v42+this run
BOT-0154,docs,docs/ARCHITECTURE.md,P1,—,VERIFIED,Describes hybrid stack,review,docs/ARCHITECTURE.md,v42
BOT-0155,docs,docs/LOCAL-AI.md (engine eval + model choice),P1,—,VERIFIED,Eval table + rationale,review,docs/LOCAL-AI.md,v42
BOT-0156,docs,docs/EMBED.md,P1,—,VERIFIED,Embed usage,review,docs/EMBED.md,v42
BOT-0157,docs,docs/COMPATIBILITY.md (browser/device matrix),P1,—,VERIFIED,Matrix present,review,docs/COMPATIBILITY.md,v42
BOT-0158,docs,docs/WORKFLOW.md (scheduled-run runbook),P1,—,VERIFIED,Runbook present,this run,docs/WORKFLOW.md,this run
BOT-0159,docs,docs/TESTING.md (test strategy),P1,—,VERIFIED,Strategy doc,this run,docs/TESTING.md,this run
BOT-0160,docs,docs/UI-UX.md (viewport matrix & checks),P1,—,VERIFIED,Checklist doc,this run,docs/UI-UX.md,this run
BOT-0161,perf,Base JS stays framework-free & small,P1,—,VERIFIED,No framework in base,bundle audit,assets/js + src,v42
BOT-0162,perf,Local AI code lazy-loaded (not in base path),P0,—,VERIFIED,Dynamic import on opt-in,unit local-ai,src/ai/local-llm.js,v42
BOT-0163,perf,First render fast on 3G-class devices,P2,—,PLANNED,Measured TTI <3s,lighthouse run,—,
BOT-0164,perf,Model download ~350–500 MB documented + user consent,P1,—,VERIFIED,Consent + size disclosed,ui + docs,docs/LOCAL-AI.md,v42
BOT-0165,perf,Model init time measured per device class,P3,—,PLANNED,Numbers recorded,benchmark script,—,
BOT-0166,perf,Memory watch on low-RAM mobile,P3,—,PLANNED,No OOM crash on 2GB device,manual matrix,—,
BOT-0167,privacy,100% on-device inference by default,P0,—,VERIFIED,No third-party AI calls,code audit,src/ai,v42
BOT-0168,privacy,"No API keys, no secrets in repo",P0,—,VERIFIED,Secret scan clean,secret scan,repo scan this run,v42
BOT-0169,privacy,No conversation data leaves device,P0,—,VERIFIED,No outbound call in chat path,code audit,src/app,v42
BOT-0170,privacy,Privacy note in UI for Local AI,P2,—,VERIFIED,Disclosure in settings,manual,assets/js/ai-settings.js,v42
BOT-0171,privacy,opt-out of AI layer entirely,P1,—,VERIFIED,Toggle off = rules+retrieval only,unit local-ai,tests/unit/local-ai.test.js,v42
BOT-0172,intel,Intelligence regression gates (fact accuracy 100%),P0,—,VERIFIED,Gate enforced in golden suite,golden suite,tests/integration/golden.test.js,v42
BOT-0173,intel,Measured NLU improvement loop (score per run),P2,—,PLANNED,Run-over-run score report,script in tools/,—,needs harness
BOT-0174,intel,Vietnamese understanding benchmark batch,P2,—,PLANNED,≥50 vi cases scored,benchmark script,—,
BOT-0175,intel,English understanding benchmark batch,P2,—,PLANNED,≥50 en cases scored,benchmark script,—,
BOT-0176,intel,Naturalness review of rule answers,P3,—,PLANNED,Copy review checklist,manual,—,
BOT-0177,intel,Booking intent (thuê luôn / đặt xe),P2,—,PLANNED,Booking intent routes to Zalo/phone contact,golden cases,—,needs business approval
BOT-0178,nlu,"Number words (""hai"" tuan) parsing",P2,—,VERIFIED,Vietnamese number words parsed,unit duration,tests/unit/duration.test.js,v42
BOT-0179,nlu,Half-day / hourly rental recognition,P3,—,PLANNED,Hour durations parsed,unit duration,—,needs business data
BOT-0180,rules,"Availability question (""còn xe không"")",P2,—,PLANNED,"Routes to contact, honest no-stock answer",golden cases,—,
BOT-0181,embed,Embed auto-open after N seconds (data-open-delay),P3,—,PLANNED,Attr honored,embed tests,—,
BOT-0182,app,Conversation export (copy transcript),P3,—,PLANNED,Copy button works,ui test,—,
BOT-0183,app,Reset conversation button,P2,—,PLANNED,Session cleared,ui test,—,
BOT-0184,app,Quick-reply chips for top FAQs,P2,—,PLANNED,Chips render & send,ui test,—,
BOT-0185,app,Contact action buttons (call/Zalo deep links),P2,—,PLANNED,Links open apps,ui test,—,
BOT-0186,search,FAQ dedupe & scoring calibration,P3,—,PLANNED,No near-duplicate docs in top-k,search tests,—,
BOT-0187,ai,Model list configurable (future model swap),P3,—,PLANNED,Config lists ≥1 model,unit test,—,
BOT-0188,data,English translations of FAQ entries complete,P2,—,VERIFIED,en FAQ retrieval works,search tests,tests/unit/search.test.js,v42
BOT-0189,tests,Deterministic test ordering & no flaky timing deps,P1,—,VERIFIED,Repeat runs green,3 consecutive suite runs,this run,—
BOT-0190,ops,Scheduled-run startup checklist automated (repo identity verify),P1,—,VERIFIED,Checklist in WORKFLOW.md,this run,docs/WORKFLOW.md,this run
BOT-0191,ops,Stale active-lock detection guidance,P1,—,VERIFIED,Rules documented,this run,docs/WORKFLOW.md,this run
BOT-0192,ui,"Viewport test matrix documented (1920x1080, 1366x768, iPhone, Android)",P1,—,VERIFIED,Matrix doc,this run,docs/UI-UX.md,this run
BOT-0193,perf,Base bundle size recorded in report,P2,—,VERIFIED,Measured & reported,this run,reports/2026-09-27-run.md,this run
BOT-0194,intel,Fallback-rate metric (golden % served by rules vs fallback),P3,—,PLANNED,Metric reported per run,script,—,
BOT-0195,app,Offline mode after first load (chat core),P3,—,PLANNED,Chat works offline,manual,—,
BOT-0196,embed,embed.js served with correct MIME from Pages,P0,—,VERIFIED,Loads via script tag,live smoke,live check this run,v42
BOT-0197,direct,Direct link live & correct,P0,—,VERIFIED,"200 OK, widget functional",live smoke,live check this run,v42
BOT-0198,privacy,No cookies (localStorage only),P2,—,VERIFIED,No document.cookie in code,code scan,this run,v42
BOT-0199,nlu,Case-insensitivity across all matching,P1,—,VERIFIED,Case never affects result,unit match,tests/unit/match.test.js,v41
BOT-0200,nlu,Trim/collapse whitespace normalization,P1,—,VERIFIED,Whitespace-insensitive,unit normalizer,tests/unit/normalizer.test.js,v41
BOT-0201,rules,Rules never emit numbers absent from repo data,P0,—,VERIFIED,Static audit + tests,rules tests,tests/unit/rules.test.js,v42
BOT-0202,ai,Prompt-injection resistance (user text never enters system role),P2,—,VERIFIED,Prompt structure audited,unit local-ai,tests/unit/local-ai.test.js,v42
BOT-0203,ui,Visual refresh: calm indigo/slate palette replaces harsh red #c8102e,P0,—,DONE,Red reserved for errors only; premium assistant look,ui-tokens test,tests/unit/ui-tokens.test.js,v43.1
BOT-0204,ui,Semantic design-token system (CSS variables light+dark),P0,—,DONE,--color-* tokens exist in both themes,ui-tokens test,tests/unit/ui-tokens.test.js,v43.1
BOT-0205,ui,"Responsive quick-action chips (wrap, no clipping)",P1,—,DONE,Chips wrap on narrow viewports,ui-tokens test + manual viewport,tests/unit/ui-tokens.test.js,v43.1
BOT-0206,ui,"Composer UX (textarea Enter/Shift+Enter, auto-grow, disabled while busy)",P1,—,DONE,Duplicate submission blocked; newline works,manual + code review,assets/js/main.js,v43.1
BOT-0207,ui,Typing indicator + smart autoscroll (only near bottom),P1,—,DONE,No scroll jump while reading history,manual viewport matrix,assets/js/main.js,v43.1
BOT-0208,ui,"Accessibility pass (focus-visible, reduced-motion, aria, touch targets)",P0,—,DONE,Keyboard-only run; reduced motion honored,ui-tokens test,tests/unit/ui-tokens.test.js,v43.1
