ID,Area,Priority,Dependency,Route,Issue,Current State,Target State,Implementation,Files,Tests,SEO Impact,UX Impact,Accessibility Impact,Performance Impact,Risk,Status,Attempts,Evidence,Verification,Rollback,Notes
BLOGUX-0011,SEARCH,P2,BLOGUX-0005,/blog/,Audit search UX,Already app-like: lazy index load + debounce + empty state,Kept as-is (audited PASS),AUDITED,assets/js/blog.js + search-index.json,tests/unit/blog-foundation.test.js (lazy load contract),Medium,Medium,Low,Low,Low,DONE,1,live search works on deployed blog,manual live check,revert commit,No change needed — existing implementation good
BLOGUX-0012,PWA,P2,,/blog/,Audit SW/manifest scope vs blog,Agent SW scope covers root; blog pages network-first for navigation,Kept as-is; runtime assets version-bumped v54,DONE v54,service-worker.js CORE_VERSION v53->v54,tests/unit/pwa.test.js (SW matches package major),None,Low,None,Low,Low,DONE,1,pwa.test.js green after bump,node --test green,revert commit,Offline shell for blog deferred
BLOGUX-0013,RESPONSIVE,P1,BLOGUX-0001,320-1920px,Audit mobile/tablet/desktop,Blog used generic article width,Compact app spacing + status chip + scroll row validated against existing responsive contract,DONE v54,blog.css v54 block on top of v49 device classes,tests/unit/ui-brand + blog-app-ux CSS contracts,Low,High,Medium,Low,Medium,QA,1,CSS contract tests green,manual 320/768/1440 check,revert commit,Static CSS tests are structural not visual — manual check needed
BLOGUX-0014,ACCESSIBILITY,P1,BLOGUX-0002,All blog pages,Theme toggle + status chip need a11y,New controls with no labels,aria-label on toggle; status is text (screen-reader friendly); focus-visible; >=40px touch targets,DONE v54,blog.css focus-visible rules; header markup,tests/unit/blog-app-ux.test.js (focus-visible + min-height contracts),None,Medium,High,Low,Low,DONE,1,CSS contract tests green,node --test green,revert commit,Screen-reader pass needs manual audit
BLOGUX-0015,SEO,P1,BLOGUX-0006,All blog pages,Preserve SEO foundation while restyling,Unique title/desc/canonical/OG per page,All metadata preserved verbatim during shell rewrite,DONE v54,blog/**/*.html heads,tests/unit/blog-foundation.test.js (canonical + sitemap + ownership),High,None,None,None,Medium,DONE,1,all v47 SEO tests still green,node --test green,revert commit,Titles/descriptions extracted verbatim from old pages
BLOGUX-0016,ARTICLE SCHEMA,P2,BLOGUX-0008,2 published articles,Keep Article + BreadcrumbList schema,Present since v47,Preserved unchanged in article rewrite,DONE v54,article JSON-LD blocks,tests/unit/blog-foundation.test.js (Article + BreadcrumbList),High,None,None,None,Low,DONE,1,regex match green,node --test green,revert commit,Only truthful fields — no invented images/ratings
BLOGUX-0017,EMPTY STATES,P2,BLOGUX-0006,xe-dien/an-toan/dia-phuong hubs,Empty hubs must not fake content,Would show empty list,Honest Chưa có bài state with breadcrumb + status + contacts,DONE v54,3 hub pages,tests/unit/blog-app-ux.test.js (hub shell contract),Low,Medium,Low,Low,Low,DONE,1,hubs render honestly,node --test green,revert commit,No doorway/spam pages created
BLOGUX-0018,KNOWLEDGE INDEX,P2,BLOGUX-0008,,blog search index vs new slugs,Slugs must stay stable for search + sitemap,Slugs unchanged,Published slug set unchanged in search-index.json and sitemap.xml,DONE v54,verified no slug change,tests/unit/blog-foundation.test.js (sitemap files exist),Medium,None,None,None,Low,DONE,1,sitemap test green,node --test green,n/a,Search index untouched
BLOGUX-0019,CROSS-REPO,P2,,Blog content vs shop/vanchinh repos,Blog must not cannibalize protected intents,Ownership doc enforced,SEO-OWNERSHIP unchanged; no new LOCAL mass content in this phase,VERIFIED,docs/SEO-OWNERSHIP.md,tests/unit/blog-foundation.test.js (protected keywords),High,None,None,None,Low,DONE,1,ownership test green,node --test green,n/a,Only 2 pilot articles published — no mass generation
BLOGUX-0020,SECURITY/PRIVACY,P2,BLOGUX-0009,All blog pages,External links must be safe,Hard-coded hrefs risk,rel=noopener noreferrer on all runtime external links,DONE v54,assets/js/blog-app.js sets rel,tests/unit/blog-app-ux.test.js (noopener assertion),None,Low,None,None,Low,DONE,1,rel set in code path,test green,revert commit,Privacy/Terms pages exist since v50
BLOGUX-0021,THEME ON AGENT ROOT,P2,BLOGUX-0002,/,Agent root has no theme toggle,Dark default only,Reuse theme.js on root app,PLANNED (v55),assets/js/theme.js reusable,not yet,Low,Medium,Medium,Low,Medium,PLANNED,0,,deferred by spec scope,deferred,revert commit,Deferred: prompt scoped theme work to Blog this phase; Agent root contract (ui-brand tests) assumes current behavior
BLOGUX-0022,BLOG BOTTOM DOCK,P3,BLOGUX-0005,/blog/,Consider blog-specific bottom navigation,Agent dock exists; blog uses header + CTA rows,Optional blog dock (Cẩm nang/Tìm/Agent/Liên hệ),PLANNED (v55 decision),none yet,not yet,Low,Medium,Medium,Medium,Medium,PLANNED,0,,deferred per spec only-if-helpful,deferred,none,Header nav judged sufficient for current 2-article corpus
BLOGUX-0023,READING PROGRESS,P3,BLOGUX-0008,/blog/*/…/,Article reading progress indicator,N/A,Light scroll-linked progress bar,PLANNED (v55),none yet,not yet,None,Low,Low,Medium,Low,PLANNED,0,,deferred — must respect reduced-motion,deferred,none,Only if it stays lightweight
BLOGUX-0024,FULL SYSTEM AUDIT,P1,ALL,Entire system,Post-foundation audit (Agent root + blog + PWA + embed + SEO),Run after foundation ships,Pending v56 matrix fill,PLANNED (v56),docs/matrix/chatbot-master-matrix.csv + this matrix,existing suites,Medium,Medium,Medium,Medium,Medium,PLANNED,0,,audit phase,deferred,none,All existing Agent tests green is the interim gate
