article_id,batch_id,category,status,primary_keyword,secondary_keywords,search_intent,working_title,slug,output_path,parent_hub,local_scope,requires_sources,source_policy,internal_link_targets,commercial_link_target,agent_retrieval,author,score,quality_status,repair_attempts,published_date,last_checked,notes
BA-0001,B01,APP,PUBLISHED,app thuê xe máy là gì,App & Ứng dụng; app thuê xe máy là gì,informational-product,App Thuê xe Máy là gì,app-thue-xe-may-la-gi,blog/app/app-thue-xe-may-la-gi/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,2026-09-26,2026-09-26,pilot/fixture
BA-0031,B01,APP,PLANNED,thuê xe online như thế nào,App & Ứng dụng; thuê xe online như thế nào,informational-product,Thuê xe Online Như Thế Nào,thue-xe-online-nhu-the-nao,blog/app/thue-xe-online-nhu-the-nao/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0032,B01,RENT,PLANNED,thuê xe số,Thuê xe máy; thuê xe số,commercial-informational,Thuê xe số,thue-xe-so,blog/thue-xe/thue-xe-so/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0033,B01,EV,PLANNED,pin của xe máy điện,Xe điện / xe máy điện; pin của xe máy điện,informational-product,Pin Của xe Máy Điện,pin-cua-xe-may-dien,blog/xe-dien/pin-cua-xe-may-dien/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0034,B01,GUIDE,PLANNED,kiểm tra xe khi nhận,Hướng dẫn / thủ tục; kiểm tra xe khi nhận,informational,Kiểm Tra xe Khi Nhận,kiem-tra-xe-khi-nhan,blog/huong-dan/kiem-tra-xe-khi-nhan/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0035,B01,SAFE,PLANNED,bằng lái a1 a2 khác gì,An toàn / pháp lý; bằng lái a1 a2 khác gì,informational-legal,Bằng Lái a1 a2 Khác gì,bang-lai-a1-a2-khac-gi,blog/an-toan/bang-lai-a1-a2-khac-gi/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0036,B01,LOCAL,PLANNED,cầu giấy đi xe máy,Địa phương / du lịch; cầu giấy đi xe máy,local-informational,Cầu Giấy đi xe Máy,cau-giay-di-xe-may,blog/dia-phuong/cau-giay-di-xe-may/index.html,blog/dia-phuong/,Cầu Giấy,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0037,B01,APP,PLANNED,web app và app native khác gì nhau,App & Ứng dụng; web app và app native khác gì nhau,informational-product,Web App và App Native Khác gì Nhau,web-app-va-app-native-khac-gi-nhau,blog/app/web-app-va-app-native-khac-gi-nhau/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0038,B01,RENT,PLANNED,thuê xe ga,Thuê xe máy; thuê xe ga,commercial-informational,Thuê xe ga,thue-xe-ga,blog/thue-xe/thue-xe-ga/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0039,B01,EV,PLANNED,phạm vi hoạt động của xe điện,Xe điện / xe máy điện; phạm vi hoạt động của xe điện,informational-product,Phạm vi Hoạt Động Của xe Điện,pham-vi-hoat-dong-cua-xe-dien,blog/xe-dien/pham-vi-hoat-dong-cua-xe-dien/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0040,B01,GUIDE,PLANNED,hợp đồng thuê xe cần những gì,Hướng dẫn / thủ tục; hợp đồng thuê xe cần những gì,informational,Hợp Đồng Thuê xe Cần Những gì,hop-dong-thue-xe-can-nhung-gi,blog/huong-dan/hop-dong-thue-xe-can-nhung-gi/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0041,B01,SAFE,PLANNED,người nước ngoài lái xe ở việt nam,An toàn / pháp lý; người nước ngoài lái xe ở việt nam,informational-legal,Người Nước Ngoài Lái xe ở Việt Nam,nguoi-nuoc-ngoai-lai-xe-o-viet-nam,blog/an-toan/nguoi-nuoc-ngoai-lai-xe-o-viet-nam/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0042,B01,LOCAL,PLANNED,đống đa và xe máy,Địa phương / du lịch; đống đa và xe máy,local-informational,Đống đa và xe Máy,dong-da-va-xe-may,blog/dia-phuong/dong-da-va-xe-may/index.html,blog/dia-phuong/,Đống đa,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0043,B01,APP,PLANNED,đặt xe bằng ứng dụng,App & Ứng dụng; đặt xe bằng ứng dụng,informational-product,Đặt xe Bằng Ứng Dụng,dat-xe-bang-ung-dung,blog/app/dat-xe-bang-ung-dung/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0044,B01,RENT,PLANNED,thuê xe 50cc,Thuê xe máy; thuê xe 50cc,commercial-informational,Thuê xe 50cc,thue-xe-50cc,blog/thue-xe/thue-xe-50cc/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0045,B01,EV,PLANNED,hướng dẫn sử dụng xe máy điện,Xe điện / xe máy điện; hướng dẫn sử dụng xe máy điện,informational-product,Hướng Dẫn sử Dụng xe Máy Điện,huong-dan-su-dung-xe-may-dien,blog/xe-dien/huong-dan-su-dung-xe-may-dien/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0046,B01,GUIDE,PLANNED,đặt cọc thế nào,Hướng dẫn / thủ tục; đặt cọc thế nào,informational,Đặt Cọc Thế Nào,dat-coc-the-nao,blog/huong-dan/dat-coc-the-nao/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0047,B01,SAFE,PLANNED,idp và bằng lái quốc tế,An toàn / pháp lý; idp và bằng lái quốc tế,informational-legal,Idp và Bằng Lái Quốc tế,idp-va-bang-lai-quoc-te,blog/an-toan/idp-va-bang-lai-quoc-te/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0048,B01,LOCAL,PLANNED,thanh xuân đường đi,Địa phương / du lịch; thanh xuân đường đi,local-informational,Thanh Xuân Đường đi,thanh-xuan-duong-di,blog/dia-phuong/thanh-xuan-duong-di/index.html,blog/dia-phuong/,Thanh Xuân,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0049,B01,APP,PLANNED,privacy và xử lý cục bộ trong app thuê xe,App & Ứng dụng; privacy và xử lý cục bộ trong app thuê xe,informational-product,Privacy và xử lý Cục bộ Trong App Thuê xe,privacy-va-xu-ly-cuc-bo-trong-app-thue-xe,blog/app/privacy-va-xu-ly-cuc-bo-trong-app-thue-xe/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0050,B01,RENT,PLANNED,thuê honda vision,Thuê xe máy; thuê honda vision,commercial-informational,Thuê Honda Vision,thue-honda-vision,blog/thue-xe/thue-honda-vision/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0051,B02,EV,PLANNED,khác biệt xe điện và xe xăng,Xe điện / xe máy điện; khác biệt xe điện và xe xăng,informational-product,Khác Biệt xe Điện và xe Xăng,khac-biet-xe-dien-va-xe-xang,blog/xe-dien/khac-biet-xe-dien-va-xe-xang/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0052,B02,GUIDE,PLANNED,nhận lại tiền cọc,Hướng dẫn / thủ tục; nhận lại tiền cọc,informational,Nhận Lại Tiền Cọc,nhan-lai-tien-coc,blog/huong-dan/nhan-lai-tien-coc/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0053,B02,SAFE,PLANNED,bảo hiểm khi thuê xe máy,An toàn / pháp lý; bảo hiểm khi thuê xe máy,informational-legal,Bảo Hiểm Khi Thuê xe Máy,bao-hiem-khi-thue-xe-may,blog/an-toan/bao-hiem-khi-thue-xe-may/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0054,B02,LOCAL,PLANNED,hai bà trưng hành trình,Địa phương / du lịch; hai bà trưng hành trình,local-informational,Hai bà Trưng Hành Trình,hai-ba-trung-hanh-trinh,blog/dia-phuong/hai-ba-trung-hanh-trinh/index.html,blog/dia-phuong/,Hai bà Trưng,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0055,B02,APP,PLANNED,app thuê xe cho khách du lịch,App & Ứng dụng; app thuê xe cho khách du lịch,informational-product,App Thuê xe Cho Khách du Lịch,app-thue-xe-cho-khach-du-lich,blog/app/app-thue-xe-cho-khach-du-lich/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0056,B02,RENT,PLANNED,thuê honda air blade,Thuê xe máy; thuê honda air blade,commercial-informational,Thuê Honda Air Blade,thue-honda-air-blade,blog/thue-xe/thue-honda-air-blade/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0057,B02,EV,PLANNED,sạc pin xe điện ở đâu,Xe điện / xe máy điện; sạc pin xe điện ở đâu,informational-product,Sạc Pin xe Điện ở Đâu,sac-pin-xe-dien-o-dau,blog/xe-dien/sac-pin-xe-dien-o-dau/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0058,B02,GUIDE,PLANNED,chụp ảnh xe trước khi nhận,Hướng dẫn / thủ tục; chụp ảnh xe trước khi nhận,informational,Chụp Ảnh xe Trước Khi Nhận,chup-anh-xe-truoc-khi-nhan,blog/huong-dan/chup-anh-xe-truoc-khi-nhan/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0059,B02,SAFE,PLANNED,trách nhiệm khi tai nạn với xe thuê,An toàn / pháp lý; trách nhiệm khi tai nạn với xe thuê,informational-legal,Trách Nhiệm Khi Tai Nạn Với xe Thuê,trach-nhiem-khi-tai-nan-voi-xe-thue,blog/an-toan/trach-nhiem-khi-tai-nan-voi-xe-thue/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0060,B02,LOCAL,PLANNED,gia lâm và long biên,Địa phương / du lịch; gia lâm và long biên,local-informational,Gia Lâm và Long Biên,gia-lam-va-long-bien,blog/dia-phuong/gia-lam-va-long-bien/index.html,blog/dia-phuong/,Long Biên,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0061,B02,APP,PLANNED,ứng dụng thuê xe máy hoạt động ra sao,App & Ứng dụng; ứng dụng thuê xe máy hoạt động ra sao,informational-product,Ứng Dụng Thuê xe Máy Hoạt Động ra Sao,ung-dung-thue-xe-may-hoat-dong-ra-sao,blog/app/ung-dung-thue-xe-may-hoat-dong-ra-sao/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0062,B02,RENT,PLANNED,thuê wave alpha,Thuê xe máy; thuê wave alpha,commercial-informational,Thuê Wave Alpha,thue-wave-alpha,blog/thue-xe/thue-wave-alpha/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0063,B02,EV,PLANNED,thời gian sạc xe máy điện,Xe điện / xe máy điện; thời gian sạc xe máy điện,informational-product,Thời Gian Sạc xe Máy Điện,thoi-gian-sac-xe-may-dien,blog/xe-dien/thoi-gian-sac-xe-may-dien/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0064,B02,GUIDE,PLANNED,nhiên liệu khi nhận trả xe,Hướng dẫn / thủ tục; nhiên liệu khi nhận trả xe,informational,Nhiên Liệu Khi Nhận Trả xe,nhien-lieu-khi-nhan-tra-xe,blog/huong-dan/nhien-lieu-khi-nhan-tra-xe/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0065,B02,SAFE,PLANNED,thủ tục khi va chạm nhẹ,An toàn / pháp lý; thủ tục khi va chạm nhẹ,informational-legal,Thủ Tục Khi va Chạm Nhẹ,thu-tuc-khi-va-cham-nhe,blog/an-toan/thu-tuc-khi-va-cham-nhe/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0066,B02,LOCAL,PLANNED,sông hồng và cầu long biên,Địa phương / du lịch; sông hồng và cầu long biên,local-informational,Sông Hồng và Cầu Long Biên,song-hong-va-cau-long-bien,blog/dia-phuong/song-hong-va-cau-long-bien/index.html,blog/dia-phuong/,Long Biên,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0067,B02,APP,PLANNED,trợ lý thuê xe máy là gì,App & Ứng dụng; trợ lý thuê xe máy là gì,informational-product,Trợ lý Thuê xe Máy là gì,tro-ly-thue-xe-may-la-gi,blog/app/tro-ly-thue-xe-may-la-gi/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0068,B02,RENT,PLANNED,thuê xe hạng nhẹ,Thuê xe máy; thuê xe hạng nhẹ,commercial-informational,Thuê xe Hạng Nhẹ,thue-xe-hang-nhe,blog/thue-xe/thue-xe-hang-nhe/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0069,B02,EV,PLANNED,chi phí điện khi thuê xe điện,Xe điện / xe máy điện; chi phí điện khi thuê xe điện,informational-product,Chi Phí Điện Khi Thuê xe Điện,chi-phi-dien-khi-thue-xe-dien,blog/xe-dien/chi-phi-dien-khi-thue-xe-dien/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0070,B02,GUIDE,PLANNED,giao xe tận nơi thủ tục,Hướng dẫn / thủ tục; giao xe tận nơi thủ tục,informational,Giao xe Tận Nơi Thủ Tục,giao-xe-tan-noi-thu-tuc,blog/huong-dan/giao-xe-tan-noi-thu-tuc/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0071,B02,SAFE,PLANNED,gọi cảnh sát khi tai nạn,An toàn / pháp lý; gọi cảnh sát khi tai nạn,informational-legal,Gọi Cảnh Sát Khi Tai Nạn,goi-canh-sat-khi-tai-nan,blog/an-toan/goi-canh-sat-khi-tai-nan/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0072,B02,LOCAL,PLANNED,chợ long biên đêm,Địa phương / du lịch; chợ long biên đêm,local-informational,Chợ Long Biên Đêm,cho-long-bien-dem,blog/dia-phuong/cho-long-bien-dem/index.html,blog/dia-phuong/,Long Biên,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
